misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,17640,953,-26.594385339999995,2.195338177680969,-1.237913966178894e-05,8.246131229400635
40,34440,935,-26.91558897,2.1934073686599733,-0.00030160844326019285,2.8884890556335447
60,51240,923,-25.53307704,2.191056561470032,-0.00046365242451429367,2.162187194824219
80,68040,919,-23.393433540000004,2.1815434217453005,-0.00030567348003387453,2.5560159891843797
100,84840,924,-23.842124799999993,2.166712427139282,-0.00035839024931192396,1.7596154749393462
120,101640,926,-24.343865429999997,2.161201596260071,-0.0004728192463517189,0.6248042792081833
140,118440,917,-22.9480951,2.169756627082825,-0.00018895789980888367,2.5810521721839903
160,135240,918,-24.3017571,2.1594773054122927,-0.0010985076776705682,0.4863117441534996
180,152040,914,-22.833515410000004,2.1403349161148073,-0.00035169576294720174,2.019386041164398
200,168840,913,-22.59886767,2.15488064289093,-0.0002968950662761927,1.832030999660492
220,185640,911,-22.30025871000001,2.1498660802841187,4.038028419017792e-05,1.8965262651443482
240,202440,910,-23.085231489999998,2.1485382080078126,-0.000949297845363617,1.5181127399206162
260,219240,908,-22.840996259999997,2.1190820693969727,-0.0006119453813880682,2.1781952917575835
280,236040,907,-21.25632224,2.119518828392029,-0.0005822618491947651,0.9504735708236695
300,252840,907,-20.13060379,2.048207187652588,-0.0002458141185343266,2.7816686391830445
320,269640,907,-21.76426452,2.067513418197632,-0.0008444614708423614,1.9581282019615174
340,286440,907,-22.427201150000002,2.0941643714904785,-0.0006230306811630726,1.0535115212202073
360,303240,907,-21.735157909999995,2.095226287841797,-0.000719342939555645,2.0743380784988403
380,320040,908,-23.598373659999996,2.078788733482361,-4.306286573410034e-05,3.2616323947906496
400,336840,908,-23.84580045,2.086803603172302,-0.0027460427954792976,0.5674022614955903
420,353640,909,-22.74430723,2.0961057901382447,-0.0010798543458804487,1.5474924445152283
440,370440,909,-22.648396740000003,2.0936292171478272,-0.0007194098085165024,1.243928325176239
460,387240,909,-22.284694140000003,2.043050670623779,-0.00016194134950637818,1.4479814291000366
480,404040,910,-22.11575655,2.032552409172058,-0.001302983984351158,1.3236378252506256
500,420840,910,-22.77365546,2.0139593124389648,-0.0012075655162334443,1.5075930297374724
520,437640,910,-22.426984259999998,1.9850436210632325,-0.0020258605480194094,1.2519262313842774
540,454440,911,-20.711967180000002,2.033025288581848,0.0006265398114919662,1.8435438394546508
560,471240,911,-22.156792109999998,2.010986697673798,-0.0009253393858671188,1.963306200504303
580,488040,911,-21.45123237,2.0070854663848876,-0.0009938053786754607,1.2339357405900955
600,504840,911,-20.89825476,2.0163673758506775,-0.001232973043806851,2.547361469268799
620,521640,912,-20.614959480000003,1.9846070647239684,-0.0003712868317961693,1.7326766014099122
640,538440,913,-20.03180454,1.9712379336357118,0.00018055604596156627,2.51127427816391
660,555240,914,-20.918915139999996,1.989179015159607,-0.000710824504494667,1.7857182800769806
680,572040,915,-19.74903948,1.9026008129119873,0.0007320085540413856,1.2319981336593628
700,588840,916,-20.257714500000002,1.9714662313461304,-0.0018918910063803196,1.2732138693332673
720,605640,917,-20.33037145,1.8961053252220155,-0.0008712171576917172,2.618196487426758
740,622440,918,-19.93487805,1.9441911697387695,-0.0027502715587615968,1.6653210759162902
760,639240,920,-19.59279518,1.758595883846283,-0.00010295882821083069,3.51543265581131
780,656040,921,-19.59708363,1.769274604320526,0.00011960007250308991,3.0343443870544435
800,672840,922,-21.05828362,1.8777366280555725,-0.0006731495261192322,1.8788949966430664
820,689640,922,-20.866521090000003,1.9256641387939453,-0.004287050664424896,3.0313987374305724
840,706440,923,-20.033124790000002,1.9234059810638429,-0.0019330296432599424,4.720442581176758
860,723240,924,-21.2993057,1.8858893036842346,-0.0006288804113864898,2.872416853904724
880,740040,924,-19.596248899999996,1.8617037296295167,0.00022503137588500977,1.9343426704406739
900,756840,926,-20.107033200000004,1.9846282005310059,-3.0498579144477843e-05,1.5663236379623413
920,773640,927,-20.501238539999996,1.8421402454376221,-0.0007207619026303291,5.770034503936768
940,790440,928,-19.778225680000002,1.8838950037956237,-0.0020795876160264017,2.7872233390808105
960,807240,929,-18.83286653,1.7887851119041442,-0.0002624914050102234,4.947646069526672
980,824040,929,-18.878901499999998,1.6521186470985412,-0.00042427219450473784,1.3369942009449005
1000,840840,929,-19.47004669,1.8474602222442627,-0.0016935452818870544,2.972279405593872
1020,857640,930,-20.80322826,1.9468871474266052,-0.002576768398284912,2.9379367589950562
1040,874440,931,-20.342641299999997,1.8255864143371583,-0.0009878244251012801,5.406681489944458
1060,891240,932,-19.56587764,1.741712749004364,-0.000891080591827631,3.6525930643081663
1080,908040,932,-20.435796770000003,1.7615995049476623,-0.0004887344752205536,3.133438766002655
1100,924840,933,-21.906908940000005,1.8359498977661133,-0.0021992563270032406,5.908923864364624
1120,941640,934,-22.637704830000004,1.871177089214325,-0.0019026113906875253,2.03622020483017
1140,958440,934,-23.656597460000004,1.8515054345130921,-0.004309344291687012,2.1344663083553312
1160,975240,935,-21.995509929999994,1.7992735743522643,-0.00140194371342659,1.1624291330575942
1180,992040,935,-21.421882929999995,1.9136455297470092,-0.002114121615886688,2.1734437525272368
1200,1008840,935,-22.341495159999994,1.8766695499420165,-0.0013375773094594478,2.243553078174591
1220,1025640,935,-22.3191353,1.8885966181755065,-0.0019162857264745981,2.6028199553489686
1240,1042440,936,-20.346014089999997,1.8028717160224914,-0.0008495824411511421,2.5454666376113892
1260,1059240,937,-20.334840910000004,1.835347557067871,-0.0007715616375207901,2.9344067931175233
1280,1076040,937,-20.838093500000003,1.8595991373062133,-0.0008374137105420232,3.482433319091797
1300,1092840,938,-20.63042922,1.8225069522857666,0.001907244324684143,3.0769840359687803
1320,1109640,938,-21.781088679999996,1.8818888425827027,0.0011771721299737691,3.267746603488922
1340,1126440,938,-21.94240127,1.8211572766304016,-0.002195689920336008,3.2425320386886596
1360,1143240,939,-20.55244186,1.8445278882980347,-9.896531701087951e-05,2.431050884723663
1380,1160040,940,-20.029855000000005,1.775582504272461,-0.003030366450548172,2.1611438274383543
1400,1176840,940,-20.64087004,1.709969699382782,-0.0025334976613521575,1.7139456391334533
1420,1193640,941,-19.2644496,1.653848147392273,-8.078180253505707e-05,4.568735802173615
1440,1210440,941,-18.849295199999997,1.856524896621704,-0.002965496387332678,1.949920654296875
1460,1227240,941,-20.69637028,1.8412987470626831,-0.0032546831294894218,0.9288679152727127
1480,1244040,942,-18.16930363,1.8908895611763001,-0.002257629856467247,2.1925080180168153
1500,1260840,942,-21.415943419999998,1.8864782094955443,0.00010510580614209175,1.4212517082691192
1520,1277640,943,-20.684184289999997,1.903150725364685,-0.0015871834009885788,2.001076394319534
1540,1294440,943,-22.114977869999997,1.93294997215271,-0.001383882761001587,2.6647008419036866
1560,1311240,944,-20.33287902,1.838097369670868,-0.0004699516110122204,3.1020903468132017
1580,1328040,944,-20.08774555,1.8803990721702575,-0.003661879594437778,2.4639629244804384
1600,1344840,944,-19.223119649999997,1.9464148044586183,-0.0008934913203120232,2.0766218185424803
1620,1361640,945,-21.14264926,1.8899245262145996,-0.005881005083210766,1.925143700838089
1640,1378440,945,-20.32793737,1.9124921083450317,-0.0009594470262527466,2.0947696208953857
1660,1395240,945,-22.624780849999997,1.8711721897125244,-0.0011081248554546618,3.6431392669677733
1680,1412040,946,-21.947123110000003,1.9224831104278564,-0.0011989302933216096,2.2016982674598693
1700,1428840,946,-22.10964512,1.9231380105018616,-0.00042851492762565615,4.15824408531189
1720,1445640,947,-23.651852010000002,1.8793354153633117,-0.0015806958079338073,2.169112581014633
1740,1462440,947,-18.84573245,1.9692100405693054,-0.0020782465115189554,3.79088294506073
1760,1479240,947,-20.111251349999996,1.8979783058166504,0.00035937540233135226,2.6679798781871797
1780,1496040,948,-20.09289183,1.8412280797958374,-0.001129806786775589,2.2229375690221786
1800,1512840,948,-21.277711359999998,1.8153402090072632,-0.0007417779415845871,2.6467342138290406
1820,1529640,948,-22.2379779,1.799555778503418,-0.0014286034740507603,1.8731680631637573
1840,1546440,948,-21.769707989999997,1.832600224018097,-0.0013087893137708306,3.6529919862747193
1860,1563240,948,-19.70614016,1.8977132797241212,0.00027145314961671827,2.3332459688186646
1880,1580040,948,-21.20610599,1.7631324172019958,-0.0016208160668611526,2.1015248894691467
1900,1596840,949,-18.41985953,1.835740852355957,-0.0035574592649936674,1.1636857748031617
1920,1613640,949,-22.37357923,1.817349636554718,-0.0007099758600816131,1.9362114310264587
1940,1630440,950,-21.966611510000003,1.83039048910141,-0.000728911766782403,4.120680737495422
1960,1647240,950,-20.18062351,1.7581456899642944,-0.005567878717556596,3.722948694229126
1980,1664040,950,-19.78473928,1.808040475845337,-0.002036187914200127,1.64299034178257
2000,1680840,950,-18.67883698,1.7367617607116699,-0.0004196085035800934,1.6661660969257355
2020,1697640,951,-18.87165281,1.726750922203064,-0.0014133714139461517,3.7829685688018797
2040,1714440,951,-20.24404122,1.7516835451126098,-0.0007942372933030129,3.943207836151123
2060,1731240,951,-19.793303520000002,1.8366215348243713,-0.0017375782132148742,3.497710108757019
2080,1748040,951,-18.689738320000004,1.8323299527168273,-0.004530330188572407,3.1077149748802184
2100,1764840,952,-20.56417157,1.86418936252594,-0.002097991295158863,2.609097719192505
2120,1781640,952,-23.449789879999997,1.8443517565727234,-0.004438913986086845,1.324795424938202
2140,1798440,952,-23.252445560000005,1.8278506517410278,0.0011734209023416043,4.8871113657951355
2160,1815240,953,-25.148488250000003,1.7785916209220887,-0.0018247202038764953,1.6276254832744599
2180,1832040,953,-21.816565529999995,1.843383800983429,-0.0029094696044921877,1.9497378826141358
2200,1848840,953,-20.535166479999997,1.8325761318206788,-0.0006243135780096054,2.504512768983841
2220,1865640,953,-21.456735689999995,1.8720191597938538,0.0005214190110564232,1.964243358373642
2240,1882440,954,-22.425952000000002,1.6920400738716126,-0.00046895742416381837,2.288823038339615
2260,1899240,954,-18.38250333,1.7409003615379333,-0.0014441575855016708,1.8207431733608246
2280,1916040,954,-19.00239749,1.6505634546279908,-0.0004663647385314107,3.805103623867035
2300,1932840,954,-19.01217094,1.747904360294342,0.0002090906258672476,3.429180121421814
2320,1949640,954,-19.45794502,1.7579435110092163,-0.0007748217321932316,2.5543553233146667
2340,1966440,954,-19.53048849,1.6868016839027404,-0.0017234653234481812,3.3034672915935515
2360,1983240,955,-19.098652050000002,1.7017095327377318,-0.0011436160653829574,0.9914940893650055
2380,2000040,955,-21.99156987,1.7072026133537292,-0.0019262447953224183,0.8240648418664932
2400,2016840,955,-22.50225845,1.8358561635017394,-0.000651472806930542,1.4363951236009598
2420,2033640,955,-21.634585500000004,1.7548482537269592,-0.0035391636192798615,1.87894866168499
2440,2050440,956,-18.69003268,1.7102596640586853,0.00023743342608213426,3.7333295047283173
2460,2067240,956,-19.61875711,1.7390190005302428,-0.00116523839533329,3.388470894098282
2480,2084040,956,-19.630380179999996,1.6558993101119994,-0.002755220583640039,3.1424250483512877
2500,2100840,956,-20.582480250000003,1.6581871271133424,-0.0007062226533889771,2.6422173917293548
2520,2117640,956,-19.391343250000002,1.487497580051422,-0.001131376251578331,3.334077352285385
2540,2134440,957,-19.25009653,1.715393877029419,-0.00035880478098988534,2.482369828224182
2560,2151240,957,-19.4559264,1.6529796123504639,-0.0010341711342334748,3.604058825969696
2580,2168040,957,-20.132551560000003,1.8067302227020263,-0.0007491696625947953,2.4236680805683135
2600,2184840,957,-21.20997494,1.7118467211723327,-0.005940630193799734,1.3068516373634338
2620,2201640,958,-22.68256537,1.7109450578689576,-0.0022204467095434666,2.434281075000763
2640,2218440,958,-21.363913519999997,1.662253987789154,-0.0004438122734427452,3.833600473403931
2660,2235240,958,-21.08196825,1.6649324297904968,-0.0023028609459288417,2.053964287042618
2680,2252040,958,-21.168979640000003,1.774331307411194,-0.0010146117303520441,4.9764237880706785
2700,2268840,958,-20.23669052,1.614954137802124,-0.0024061288684606554,2.577926880121231
2720,2285640,959,-21.123549509999997,1.7334242701530456,-0.0032790966331958772,1.7093735694885255
2740,2302440,959,-17.24757304,1.682402753829956,-0.0005857473239302635,1.9053094804286956
2760,2319240,959,-24.486015539999993,1.7269988059997559,-0.0008317776024341583,2.0431518375873567
2780,2336040,959,-24.009448029999994,1.7287992596626283,-0.004400093108415604,2.6019695520401003
2800,2352840,960,-19.785851679999997,1.6895293712615966,0.0008891072124242782,4.6686512470245365
2820,2369640,960,-18.63341623,1.6897179722785949,-0.0008278393186628818,2.560638666152954
2840,2386440,960,-19.32372662,1.6850935101509095,-0.0011634521186351776,2.7653496742248533
2860,2403240,960,-17.723029129999997,1.7453192591667175,-0.0012271376326680183,2.3464747250080107
2880,2420040,960,-17.4627602,1.6885674715042114,-0.002455651154741645,4.398054552078247
2900,2436840,961,-21.015088549999994,1.7124058723449707,-0.000824655219912529,1.3466921418905258
2920,2453640,961,-19.967701729999998,1.7975298047065735,-0.0068425387144088745,0.8833036869764328
2940,2470440,961,-21.76523522,1.8002357244491578,-0.0025871794670820234,1.6339831709861756
2960,2487240,961,-20.80106824,1.7573454260826111,-0.004319653660058975,6.485311889648438
2980,2504040,961,-21.83901198,1.7218759417533875,-0.0003713048994541168,4.229997849464416
3000,2520840,961,-19.132814789999998,1.7492212653160095,-0.0009653196670114994,2.881155341863632
3020,2537640,962,-17.056615309999998,1.7663474917411803,-0.006010913988575339,1.5586773365736009
3040,2554440,962,-20.280161420000002,1.811887836456299,-0.0013503015041351318,2.8182159066200256
3060,2571240,962,-17.824996589999998,1.7908962607383727,-0.001697547733783722,1.6009588301181794
3080,2588040,962,-18.41758835,1.7929894089698792,-0.0034906317479908465,4.054786491394043
3100,2604840,962,-22.30034698,1.7456438899040223,-0.0023789028637111187,1.286208838224411
3120,2621640,962,-24.412480000000002,1.7507257342338562,-0.004365956736728549,2.004336988925934
3140,2638440,962,-22.19079236,1.734862995147705,0.0005165629088878631,4.181327778100967
3160,2655240,962,-20.583508,1.775086224079132,-0.0012729212408885359,1.2113312244415284
3180,2672040,963,-20.09882747,1.7656733393669128,-0.0009714981541037559,0.8254842430353164
3200,2688840,963,-18.1802687,1.7483774304389954,-0.0018805266648996622,5.951706886291504
3220,2705640,963,-19.462374720000003,1.7316352248191833,-0.0018938016146421432,6.967743146419525
3240,2722440,962,-20.070072260000003,1.675964069366455,-0.0012994635850191115,4.773904204368591
3260,2739240,962,-18.766304179999995,1.7796443700790405,-0.0010630874894559383,2.1253975570201873
3280,2756040,962,-20.50702636,1.7555668473243713,-0.0024940675124526025,0.871589919924736
3300,2772840,962,-18.580591929999997,1.720763337612152,-0.004789668694138527,2.3276625841856005
3320,2789640,961,-19.413539800000002,1.5806911945343018,-0.0028456900268793105,2.3423841178417204
3340,2806440,960,-18.37463709,1.6057013750076294,-0.0010895993560552596,5.704559278488159
3360,2823240,959,-18.977148039999996,1.6538093090057373,-0.004614256322383881,4.123793351650238
3380,2840040,958,-15.480113439999998,1.6421791315078735,-0.0022252755239605903,3.744670367240906
3400,2856840,957,-20.33920476,1.7524328589439393,-0.0020560468547046185,4.187536197900772
3420,2873640,957,-19.160515390000004,1.714327371120453,-0.003412214666604996,2.238017112016678
3440,2890440,956,-16.454334010000004,1.6503271341323853,-0.0005098022520542145,2.0532487094402314
3460,2907240,956,-14.86652376,1.70989670753479,-0.0029892787337303162,1.9256110727787017
3480,2924040,956,-15.897847000000002,1.6822996020317078,-0.00207128981128335,4.754851269721985
3500,2940840,956,-12.004243859999997,1.7579711198806762,-0.0018105495721101761,2.9013849169015886
3520,2957640,955,-11.186175559999999,1.7735557436943055,-0.0032532814890146255,1.7092562898993493
3540,2974440,955,-10.821293760000001,1.806198525428772,-0.0013477477710694074,6.922363710403443
3560,2991240,955,-14.226376489999996,1.770149302482605,0.00011371001601219177,2.276536816358566
3580,3008040,954,-16.782003489999997,1.6818100690841675,-0.00047760065644979476,3.991746520996094
3600,3024840,954,-17.895913280000006,1.8239404082298278,-0.0027575088024605066,1.4964133232831955
3620,3041640,953,-16.469653299999997,1.7129703164100647,-0.0013309966772794724,1.6491247773170472
3640,3058440,953,-18.651843030000002,1.621813428401947,-0.0016896570334210992,2.711323606967926
3660,3075240,952,-19.499215709999998,1.7196645259857177,-0.001124795526266098,4.950817131996155
